Title,Company,Experience,Salary,Location,Skills,Description,Link
Data Analyst-SQL+Power BI+Alteryx-Australian shift,PwC Service Delivery Center,5-9 Yrs,Not Disclosed,"Kolkata, Hyderabad, Bengaluru","Power Bi, Alteryx, Data Analytics, Reporting, SQL, Bi Tools, Data, Tools",Role & responsibilities  Data analytics and insights Support the maintenance and implem...,https://www.naukri.com/job-listings-data-analyst-sql-power-bi-alteryx-australian-shift-pwc-service-delivery-center-kolkata-hyderabad-bengaluru-5-to-9-years-100426000179
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-190426000068
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-150426035285
Data Analyst,Stanza Living,2-6 Yrs,Not Disclosed,Gurugram,"Google Sheets, Power Bi, Advanced Excel, SQL, Data Visualization, Dashboards, Data Analytics, Python","Experience with dashboards, data manipulation, and structured datasets",https://www.naukri.com/job-listings-data-analyst-stanza-living-gurugram-2-to-6-years-140426015397
Data Analyst,E4 Softwares,0-3 Yrs,Not Disclosed,Mumbai,"python, data analysis, data analytics, sas, natural language processing, data mining, predictive analytics, process improvement",Develop and maintain large-scale databases and data systems to support business opera...,https://www.naukri.com/job-listings-data-analyst-e4-softwares-mumbai-0-to-3-years-170426502441
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,7-12 Yrs,Not Disclosed,"India, Bengaluru, Mumbai (All Areas)","Power Bi, Tableau, Data Analytics, Bi, Interviewing, Data analysis, Pan, Analytics","Hands-on experience with Databricks, Amazon Redshift, and RESTful APIsRequired Technica...",https://www.naukri.com/job-listings-data-analyst-10th-april-virtual-interview-pan-india-tata-consultancy-services-bengaluru-mumbai-all-areas-india-7-to-12-years-090426005873
Data Analyst (ADAS / Autonomous Vehicles),Larsen & Toubro (L&T),4-6 Yrs,Not Disclosed,Bengaluru,"Data Analysis, Data Mining, Adas, SQL, Analytical, PLSQL, Autonomous Vehicle, Analytics",Job Summary. We are seeking a skilled Data Analyst with strong data mining experience a...,https://www.naukri.com/job-listings-data-analyst-adas-autonomous-vehicles-larsen-toubro-l-t-bengaluru-4-to-6-years-170426026007
Data Analyst,The Hackett Group,2-5 Yrs,6-8 Lacs PA,Hyderabad,"data analytics, EDA, Exploratory Data Analysis, Power Bi, Advanced Excel, SPSS, R Program, Python","ETA (Extract, transform and analyze) company level survey information into a SPSS datab...",https://www.naukri.com/job-listings-data-analyst-the-hackett-group-hyderabad-2-to-5-years-160426027994
Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Chennai, Bengaluru","Banking And Insurance, Cloud Migration, Data Warehousing, Data Analytics, SQL, Data Engineering, Data Management, Engineering",Role & responsibilities:Outline the day-to-day responsibilities for this role.Preferred...,https://www.naukri.com/job-listings-data-analyst-capgemini-pune-chennai-bengaluru-4-to-9-years-170426007974
Data Analyst,HSBC,15-24 Yrs,1-1.25 Cr PA,Pune,"Data Analysis, Data Quality, Data Analytics, Analytics, Analysis, Data, Quality",Previous experience partnering with business stakeholders to design or implement IT pla...,https://www.naukri.com/job-listings-data-analyst-hackajob-pune-15-to-24-years-170426019369
